Model,benchmark,Metrics,,,,,,备注,,,,,,,,,,,
,,Accuracy,Recall,Search Calls,Visit Calls,Link-following Visit Calls,Turns number,运行脚本路径,,,,,,,,,,,
Qwen3.6-35B-A3B,bcp-link,59.40%,58.40%,30.68,2.64,0.072,25.24,,,,,,,,,,,,
,bcp,58.43%,57.39%,28.46,2.48,0,24.17,,,,,,,,,,,,
Qwen3.6-27B,bcp-link,61.93%,62.79%,30.78,2.12,0.022,26.33,,,,,,,,,,,,
,bcp,62.05%,62.51%,30.47,2.08,0,25.64,,,,,,,,,,,,
gemma-4-31B-it,bcp-link,49.64%,44.02%,12.3,0.13,0.004,9.68,,,,,,,,,,,,
,bcp,50.60%,44.81%,11.99,0.16,0,9.32,,,,,,,,,,,,
Qwen3.5-9B,bcp-link,47.23%,50.52%,26.01,1.71,0.034,22.8,,,,,,,,,,,,
,bcp,47.35%,50.22%,26.48,1.61,0,22.36,,,,,,,,,,,,
gemma-4-E4B-it,bcp-link,21.69%,18.35%,4.91,0.03,0,5.94,,,,,,,,,,,,
,bcp,22.05%,18.37%,4.94,0.03,0,5.97,,,,,,,,,,,,
Tongyi-DeepResearch-30B-A3B,bcp-link,59.76%,60.68%,29.71,7.13,0.2625,37.84,,,,,,,,,,,,
,bcp,57.59%,58.74%,30.59,7.23,0,38.85,,,,,,,,,,,,
SearchAgent-Zero,bcp-link,26.27%,9.70%,2.77,1.04,0.0012,4.79,,,,,,,,,,,,
,bcp,23.73%,9.85%,3.55,0.89,0,5.41,,,,,,,,,,,,
WebExplorer-8B,bcp-link,34.10%,32.15%,21.36,0.49,0.0049,22.82,,,,,,,,,,,,
,bcp,23.98%,31.21%,22.75,0.96,0,24.7,,,,,,,,,,,,
WebSailor-32B,bcp-link,25.545,26.63%,14.96,3.783,0.1289,19.74,,,,,,,,,,,,
,bcp,23.37%,26.74%,17.8,3.446,0,22.24,,,,,,,,,,,,
